Date,Focus Topic,Suggested Tasks,Status,Notes
2025-07-24,Electrical Math Foundations (ELTR 1015),"Review basic arithmetic: fractions, decimals, unit conversions",Pending,
2025-07-25,Ohm's Law & Electrical Safety (ELTR 1110),Read about lockout/tagout procedures and OSHA guidelines,Pending,
2025-07-26,NEC Overview & Navigation (ELTR 1115),Read about residential wiring code requirements,Pending,
2025-07-27,Wiring & Components Hands-on Concepts (ELTR 1220),"Study common electrical components: switches, outlets, breakers",Pending,
2025-07-28,Entrepreneurship Basics (BUSA 2210),Start brainstorming ideas for a business you could run,Pending,
2025-07-29,Excel & Productivity Tools (BUSA 2210),Explore small business templates in Microsoft Office,Pending,
2025-07-30,General Review & Practice Problems,Review notes from the past 6 days,Pending,
2025-07-31,Electrical Math Foundations (ELTR 1015),"Practice solving formulas for voltage, current, resistance",Pending,
2025-08-01,Ohm's Law & Electrical Safety (ELTR 1110),"Identify and list resistive, capacitive, and inductive loads",Pending,
2025-08-02,NEC Overview & Navigation (ELTR 1115),Download and skim through the NEC Table of Contents,Pending,
2025-08-03,Wiring & Components Hands-on Concepts (ELTR 1220),Draw simple circuit diagrams for single- and 3-way switches,Pending,
2025-08-04,Entrepreneurship Basics (BUSA 2210),Read about sole proprietorships vs LLCs vs corporations,Pending,
2025-08-05,Excel & Productivity Tools (BUSA 2210),Practice using Excel formulas and formatting a basic ledger,Pending,
2025-08-06,General Review & Practice Problems,Redo the hardest problems and concepts from the week,Pending,
2025-08-07,Electrical Math Foundations (ELTR 1015),Study circuit load calculation examples using Ohm's Law,Pending,
2025-08-08,Ohm's Law & Electrical Safety (ELTR 1110),Watch a video on Ohm's Law and solve 5 example problems,Pending,
2025-08-09,NEC Overview & Navigation (ELTR 1115),Learn how to locate code articles by topic and number,Pending,
2025-08-10,Wiring & Components Hands-on Concepts (ELTR 1220),Identify materials/tools used in residential wiring,Pending,
2025-08-11,Entrepreneurship Basics (BUSA 2210),Research 3 successful small businesses and what made them work,Pending,
2025-08-12,Excel & Productivity Tools (BUSA 2210),Create a PowerPoint outline for a sample business idea,Pending,
2025-08-13,General Review & Practice Problems,Write down lingering questions to follow up on later,Pending,
2025-08-14,Electrical Math Foundations (ELTR 1015),"Review basic arithmetic: fractions, decimals, unit conversions",Pending,
2025-08-15,Ohm's Law & Electrical Safety (ELTR 1110),Read about lockout/tagout procedures and OSHA guidelines,Pending,
2025-08-16,NEC Overview & Navigation (ELTR 1115),Read about residential wiring code requirements,Pending,
2025-08-17,Wiring & Components Hands-on Concepts (ELTR 1220),"Study common electrical components: switches, outlets, breakers",Pending,
